Brand;Merk;Dimension;Weight;build;Type;Size;Resolution;OS;Chipset;CPU;RAM;ROM;Camera;Type2;Video;Camera3;Video5;USB;Capacity;Price
APPLE;Iphone 15;147.6 x 71.6 x 7.8;171;ALUMUNIUM FRAME, GLASS BACK;Super Retina XDR OLED;91.3;1179 x 2556;iOS 17;Apple A16 Bionic;HEXA-CORE;8;512;48;DUAL;4k 24/25/30/60fps, 1080p 30/60/120/240fps;12;4k 24/25/30/60fps, 1080p 30/60/120fps;USB Type-C 2.0;3349;22999000
SAMSUNG;Galaxy S24;147 x 70.6 x 7.6;167;TITANIUM FRAME, GLASS BACK;Dynamic LTPO AMOLED ;94.4;1080 x 2340;Android 14;Snapdragon 8 Gen 3;OCTA-CORE;8;512;50;TRIPLE;8k 24fps, 4k 30/60fps, 1080p 30/60/120/240fps;12;4k 30/60fps, 1080p 30fps;USB Type-C 3.2 Gen 2;4000;15999000
SAMSUNG;Galaxy S24 Ultra;162.3 x 79 x 8.6;232;TITANIUM FRAME, GLASS BACK;Dynamic LTPO AMOLED ;113.5;1440 x 3120;Android 14;Snapdragon 8 Gen 3;OCTA-CORE;12;512;200;QUAD;8k 24/30fps, 4k 30/60/120fps, 1080p 30/60/240fps;12;4k 30/60fps, 1080p 30fps;USB Type-C 3.2 Gen 2;5000;23999000
SAMSUNG;Galaxy S24 Ultra;162.3 x 79 x 8.6;232;TITANIUM FRAME, GLASS BACK;Dynamic LTPO AMOLED ;113.5;1440 x 3120;Android 14;Snapdragon 8 Gen 3;OCTA-CORE;12;1000;200;QUAD;8k 24/30fps, 4k 30/60/120fps, 1080p 30/60/240fps;12;4k 30/60fps, 1080p 30fps;USB Type-C 3.2 Gen 2;5000;27999000
SAMSUNG;Galaxy S24+(Online Exclusive);158.5 x 75.9 x 7.7;196;ALUMUNIUM FRAME, GLASS BACK;Dynamic LTPO AMOLED ;110.2;1440 x 3120;Android 14;Snapdragon 8 Gen 3;DECA-CORE;12;512;50;TRIPLE;8k 24/30fps, 4k 30/60fps, 1080p 30/60/240fps;12;4k 30/60fps, 1080p 30fps;USB Type-C 3.2 Gen 2;4900;18999000
SAMSUNG;Galaxy S24 Ultra;162.3 x 79 x 8.6;232;TITANIUM FRAME, GLASS BACK;Dynamic LTPO AMOLED ;113.5;1440 x 3120;Android 14;Snapdragon 8 Gen 3;OCTA-CORE;12;256;200;QUAD;8k 24/30fps, 4k 30/60/120fps, 1080p 30/60/240fps;12;4k 30/60fps, 1080p 30fps;USB Type-C 3.2 Gen 2;5000;21499000
SAMSUNG;Galaxy S23 FE;158 x 76.5 x 8.2;209;ALUMUNIUM FRAME, GLASS BACK;Dynamic AMOLED;100.5;1080 x 2340;Android 13;Exynos 2200;OCTA-CORE;8;256;50;TRIPLE;8k 24fps, 4k 30/60fps, 1080p 30/60/120/240fps;10;4k 30/60fps, 1080p 30/60fps;USB Type-C 3.2 Gen 1;4500;9999000
SAMSUNG;Galaxy S23 FE;158 x 76.5 x 8.2;209;ALUMUNIUM FRAME, GLASS BACK;Dynamic AMOLED;100.5;1080 x 2340;Android 13;Exynos 2200;OCTA-CORE;8;128;50;TRIPLE;8k 24fps, 4k 30/60fps, 1080p 30/60/120/240fps;10;4k 30/60fps, 1080p 30/60fps;USB Type-C 3.2 Gen 1;4500;8999000
SAMSUNG;Galaxy S23 Ultra;163.4 x 78.1 x 8.9;234;ALUMUNIUM FRAME, GLASS BACK;Dynamic AMOLED;114.7;1440 x 3088;Android 13;Snapdragon 8 Gen 2;OCTA-CORE;12;512;200;QUAD;8k 24/30fps, 4k 30/60fps, 1080p 30/60/240fps, 1080p 960fps;12;4k 30/60fps, 1080p 30fps;USB Type-C 3.2 Gen 1;5000;19999000
SAMSUNG;Galaxy S23+;157.8 x 76.2 x 7.6;196;ALUMUNIUM FRAME, GLASS BACK;Dynamic AMOLED;105.3;1080 x 2340;Android 13;Snapdragon 8 Gen 2;OCTA-CORE;8;256;50;TRIPLE;8k 24/30fps, 4k 30/60fps, 1080p 30/60/240fps, 1080p 960fps;12;4k 30/60fps, 1080p 30fps;USB Type-C 3.2 Gen 1;4700;15999000
SAMSUNG;Galaxy S23;146.3 x 70.9 x 7.6;168;ALUMUNIUM FRAME, GLASS BACK;Dynamic AMOLED;90.1;1080 x 2340;Android 13;Snapdragon 8 Gen 2;OCTA-CORE;8;256;50;TRIPLE;8k 24/30fps, 4k 30/60fps, 1080p 30/60/240fps, 1080p 960fps;12;4k 30/60fps, 1080p 30fps;USB Type-C 3.2 Gen 1;3900;13999000
SAMSUNG;Galaxy Z Flip5;165.1 x 71.9 x 6.9;187;GLASS BACK, ALUMUNIUM FRAME;Dynamic AMOLED;102.0;1080 x 2640;Android 13;Snapdragon 8 Gen 2;OCTA-CORE;8;256;12;DUAL;4k 30/60fps, 1080p 60/240fps, 720p 960fps;10;4k 30fps;USB Type-C 3.2;3700;14999000
SAMSUNG;Galaxy Z Flip5;165.1 x 71.9 x 6.9;187;GLASS BACK, ALUMUNIUM FRAME;Dynamic AMOLED;102.0;1080 x 2640;Android 13;Snapdragon 8 Gen 2;OCTA-CORE;8;512;12;DUAL;4k 30/60fps, 1080p 60/240fps, 720p 960fps;10;4k 30fps;USB Type-C 3.2;3700;16499000
SAMSUNG;Galaxy Z Fold5;154.9 x 129.9 x 6.1 ;253 ;GLASS BACK, ALUMUNIUM FRAME;Dynamic AMOLED;183.2 ;1812 x 2176;Android 13;Snapdragon 8 Gen 2;OCTA-CORE;12;256;50;TRIPLE;8k 30fps, 4k 60fps, 1080p 60/240fps, 720p 960fps;4;4k 30/60fps, 1080p 30/60fps;USB Type-C 3.2;4400;23499000
SAMSUNG;Galaxy Z Fold5;154.9 x 129.9 x 6.1 ;253 ;GLASS BACK, ALUMUNIUM FRAME;Dynamic AMOLED;183.2 ;1812 x 2176;Android 13;Snapdragon 8 Gen 2;OCTA-CORE;12;512;50;TRIPLE;8k 30fps, 4k 60fps, 1080p 60/240fps, 720p 960fps;4;4k 30/60fps, 1080p 30/60fps;USB Type-C 3.2;4400;24999000
SAMSUNG;Galaxy A05S;168 x 77.8 x 8.8;194;PLASTIC BACK, PLASTIC FRAME;PLS LCD;108.4;1080 x 2400 ;Android 13;Snapdragon 680 4G;OCTA-CORE;6;128;50;TRIPLE;1080p 30/60fps;13;1080p 30fps;USB Type-C 2.0;5000;2199000
SAMSUNG;Galaxy A15 5G;160.1 x 76.8 x 8.4;200;PLASTIC BACK, PLASTIC FRAME;Super AMOLED;103.7;1080 x 2340;Android 14;Mediatek Dimensity 6100+;OCTA-CORE;8;256;50;TRIPLE;1080p 30fps;13;1080p 30fps;USB Type-C 2.0;5000;3599000
SAMSUNG;Galaxy A25 5G;161 x 76.5 x 8.3;197 ;PLASTIC BACK, PLASTIC FRAME;Super AMOLED;103.7;1080 x 2340;Android 14;Exynos 1280;OCTA-CORE;8;128;50;TRIPLE;4k 30fps, 1080p 30fps;13;1080p 30fps;USB Type-C 2.0;5000;3999000
SAMSUNG;Galaxy A15;160.1 x 76.8 x 8.4;200;PLASTIC BACK, PLASTIC FRAME;Super AMOLED;103.7 ;1080 x 2340;Android 14;Mediatek Helio G99;OCTA-CORE;8;256;50;TRIPLE;1080p 30fps;13;1080p 30fps;USB Type-C 2.0;5000;2999000
SAMSUNG;Galaxy A05;168.8 x 78.2 x 8.8;195 ;PLASTIC BACK, PLASTIC FRAME;PLS LCD;108.4;720 x 1600;Android 13;Helio G85;OCTA-CORE;4;128;50;DUAL;1080p 30/60fps;8;null;USB Type-C 2.0;5000;1599000
SAMSUNG;Galaxy A05;168.8 x 78.2 x 8.8;195 ;PLASTIC BACK, PLASTIC FRAME;PLS LCD;108.4;720 x 1600;Android 13;Helio G85;OCTA-CORE;6;128;50;DUAL;1080p 30/60fps;8;null;USB Type-C 2.0;5000;1899000
