Brand;Merk;Dimension;Weight;build;Type;Size;Resolution;OS;Chipset;CPU;RAM;ROM;Camera;Type2;Video;Camera3;Video5;USB;Capacity;Price
VIVO;Vivo V29e 5G;162.4 x 74.9 x 7.7;190;PLASTIC FRAME, GLASS BACK;AMOLED;107.4;1080 x 2400;Android 13;Snapdragon 695 5G;OCTA-CORE;8;256;64;DUAL;1080p 30fps;50;1080p 30fps;USB Type-C 2.0;4800;4399000
VIVO;Vivo Y17s;163.7 x 75.4 x 8.1;186;PLASTIC FRAME, PLASTIC BACK;IPS;103.4;720 x 1612;Android 13;Mediatek MT6769 Helio G85;OCTA-CORE;4;64;50;DUAL;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;1399000
VIVO;Vivo Y17s;163.7 x 75.4 x 8.1;186;PLASTIC FRAME, PLASTIC BACK;IPS;103.4;720 x 1612;Android 13;Mediatek MT6769 Helio G85;OCTA-CORE;4;128;50;DUAL;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;1599000
VIVO;Vivo V29;164.2 x 74.4 x 7.5;186;GLASS BACK, PLASTIC FRAME;AMOLED;111.0;1260 x 2800;Android 13;Snapdragon 778G 5G;OCTA-CORE;8;256;50;TRIPLE;4k 30fps, 1080p 30fps;50;1080p 30fps;USB Type-C 2.0;4600;5999000
VIVO;Vivo V29;164.2 x 74.4 x 7.5;186;GLASS BACK, PLASTIC FRAME;AMOLED;111.0;1260 x 2800;Android 13;Snapdragon 778G 5G;OCTA-CORE;12;512;50;TRIPLE;4k 30fps, 1080p 30fps;50;1080p 30fps;USB Type-C 2.0;4600;6999000
VIVO;Vivo Y27;164.1 x 76.2 x 8.1;190;PLASTIC FRAME, PLASTIC BACK;IPS;106.8;1080 x 2388;Android 13;Mediatek MT6769 Helio G85;OCTA-CORE;6;128;50;DUAL;1080p 30fps;50;1080p 30fps;USB Type-C 2.0;5000;1749000
VIVO;Vivo Y27 5G;164.1 x 76.2 x 8.1;190;PLASTIC FRAME, PLASTIC BACK;IPS;106.8;1080 x 2388;Android 13;Mediatek Dimensity 6020;OCTA-CORE;6;128;50;DUAL;1080p 30fps;50;1080p 30fps;USB Type-C 2.0;5000;2599000
VIVO;Vivo Y02t;164 x 75.6 x 8.5;186;PLASTIC BACK, PLASTIC FRAME;IPS;102.3;720 x 1600;Android 13;Mediatek MT6765 Helio P35;OCTA-CORE;4;64;8;SINGGLE;1080p 30fps;5;null;microUSB 2.0;5000;1199000
POCO;Poco F5;161.1 x 75 x 7.9;181;PLASTIC BACK, PLASTIC FRAME;AMOLED;107.4;1080 x 2400;Android 13;Snapdragon 7+ Gen 2;OCTA-CORE;12;256;64;TRIPLE;4k 30fps, 1080p 30/60/120fps;16;1080p 30/60fps;USB Type-C 2.0;5000;5499000
POCO;Poco F5;161.1 x 75 x 7.9;181;PLASTIC BACK, PLASTIC FRAME;AMOLED;107.4;1080 x 2400;Android 13;Snapdragon 7+ Gen 2;OCTA-CORE;8;256;64;TRIPLE;4k 30fps, 1080p 30/60/120fps;16;1080p 30/60fps;USB Type-C 2.0;5000;4999000
POCO;Poco X5 Pro;162.9 x 76 x 7.9;181 ;PLASTIC BACK, PLASTIC FRAME;AMOLED;107.4;1080 x 2400;Android 12;Snapdragon 778G 5G;OCTA-CORE;6;128;108;TRIPLE;4k 30fps, 1080p 30/60/120fps;16;1080p 30/60fps;USB Type-C 2.0;5000;3499000
POCO;Poco X5 Pro;162.9 x 76 x 7.9;181 ;PLASTIC BACK, PLASTIC FRAME;AMOLED;107.4;1080 x 2400;Android 12;Snapdragon 778G 5G;OCTA-CORE;8;256;108;TRIPLE;4k 30fps, 1080p 30/60/120fps;16;1080p 30/60fps;USB Type-C 2.0;5000;3999000
POCO;Poco X5;165.9 x 76.2 x 8 ;189;PLASTIC BACK, PLASTIC FRAME;SUPER AMOLED;107.4;1080 x 2400;Android 12;Snapdragon 695 5G;OCTA-CORE;6;128;48;TRIPLE;1080p 30fps;13;1080p 30fps;USB Type-C 2.0;5000;2499000
POCO;Poco X5;165.9 x 76.2 x 8 ;189;PLASTIC BACK, PLASTIC FRAME;SUPER AMOLED;107.4;1080 x 2400;Android 12;Snapdragon 695 5G;OCTA-CORE;8;256;48;TRIPLE;1080p 30fps;13;1080p 30fps;USB Type-C 2.0;5000;2999000
INFINIX;INFINIX SMART 8;163.6 x 75.6 x 8.5;184;PLASTIC BACK, PLASTIC FRAME;IPS;104;720 x 1612;Android 13;Unisoc T606;OCTA-CORE;4;128;13;SINGGLE;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;null
INFINIX;INFINIX HOT 40i;163.6 x 75.6 x 8.3;190;PLASTIC BACK, PLASTIC FRAME;IPS;103.4 ;720 x 1612;Android 13;Unisoc T606;OCTA-CORE;8;256;50;SINGGLE;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;null
INFINIX;INFINIX SMART  HD;163.6 x 75.6 x 8.5;184;PLASTIC BACK, PLASTIC FRAME;IPS;104.6;720 x 1612;Andorid 13;Unisoc T606;OCTA-CORE;4;128;13;SINGGLE;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;null
INFINIX;INFINIX GT 10 PRO;162.7 x 75.9 x 8.1;187;PLASTIC BACK, PLASTIC FRAME;AMOLED;107.4;1080 x 2400;Android 13;Mediatek Dimensity 8050;OCTA-CORE;8;256;108;TRIPLE;4k 30fps, 1080p 30/60fps;32mp;4k 30fps, 1080p 30/60fps;USB Type-C 2.0;5000;null
INFINIX;INFINIX NOTE 30 PRO;162.7 x 76 x 8.2;203;PLASTIC FRAME, GLASS BACK;AMOLED;107.4;1080 x 2400;Android 13;Mediatek Helio G99;OCTA-CORE;8;256;108;QUAD;1440p 30fps, 1080p 30fps;32mp;1080p 30fps;USB Type-C 2.0;5000;null
INFINIX;INFINIX NOTE 30;168.6 x 76.6 x 8.6;219;PLASTIC FRAME, GLASS BACK;IPS;109.2;1080 x 2460;Android 13;Mediatek Helio G99;OCTA-CORE;8;128;64;TRIPLE;1440p 30fps, 1080p 30/60fps;16;1080p 30fps;USB Type-C 2.0;5000;null
INFINIX;INFINIX HOT 30i;164 x 75.8 x 8.4;191; PLASTIC FRAME, PLASTIC BACK;IPS;103.4;720 x 1612;Android 13;Unisoc T606;OCTA-CORE;8;128;13;SINGGLE;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;null
